,id,Rating,Total User Ratings,Address,City,State,Lat,Long_,Restaurant
0,1,4.3,2167,"8020 MN-7, St Louis Park","8020 MN-7, St Louis Park",MN,44.9370512,-93.381334,Chick-fil-A Knollwood
1,2,4.4,1346,"2090 Snelling Ave N, Roseville","2090 Snelling Ave N, Roseville",MN,45.00427089999999,-93.1659059,Chick-fil-A
2,3,4.5,4137,"2500 W 79th St, Bloomington","2500 W 79th St, Bloomington",MN,44.8610149,-93.3107006,Chick-fil-A
3,4,4.3,138,"615 Washington Ave SE, Minneapolis","615 Washington Ave SE, Minneapolis",MN,44.9739768,-93.2292533,Chick-fil-A
4,5,4.2,335,"3005 Harbor Ln N, Plymouth","3005 Harbor Ln N, Plymouth",MN,45.0132669,-93.4623819,Chick-fil-A
5,6,4.4,807,"6939 Valley Creek Rd, Woodbury","6939 Valley Creek Rd, Woodbury",MN,44.92487939999999,-92.9666579,Chick-fil-A
6,7,4.4,743,"9751 Xenia Ave N, Brooklyn Park","9751 Xenia Ave N, Brooklyn Park",MN,45.1339491,-93.3564504,Chick-fil-A
7,8,4.4,2242,"11820 Fountains Way, Maple Grove","11820 Fountains Way, Maple Grove",MN,45.0942304,-93.4297126,Chick-fil-A
8,9,4.5,2330,"1200 County Rd 42 W, Burnsville","1200 County Rd 42 W, Burnsville",MN,44.7470673,-93.294093,Chick-fil-A
9,10,4.3,1646,"3045 White Bear Ave, Maplewood","3045 White Bear Ave, Maplewood",MN,45.0329984,-93.0187244,Chick-fil-A Maplewood
10,11,4.5,1134,"3420 Promenade Ave, Eagan","3420 Promenade Ave, Eagan",MN,44.8331243,-93.1524832,Chick-fil-A
11,12,4.0,325,"595 Northtown Dr NE, Blaine","595 Northtown Dr NE, Blaine",MN,45.1277373,-93.2576981,Chick-fil-A
12,13,4.6,1949,"445 W 79th St, Chanhassen","445 W 79th St, Chanhassen",MN,44.8591608,-93.53208,Chick-fil-A
13,14,3.9,206,"300 Washington Ave SE, Minneapolis","300 Washington Ave SE, Minneapolis",MN,44.97280860000001,-93.2354014,Chick-fil-A
14,15,4.5,2089,"1770 S Robert St, West St Paul","1770 S Robert St, West St Paul",MN,44.892506,-93.0799447,Chick-fil-A
15,16,4.4,299,"3855 Lexington Ave N, Arden Hills","3855 Lexington Ave N, Arden Hills",MN,45.0580368,-93.1478408,Chick-fil-A
16,17,4.6,1990,"3590 River Rapids Dr, Coon Rapids","3590 River Rapids Dr, Coon Rapids",MN,45.19896060000001,-93.3574594,Chick-fil-A
17,18,4.4,1589,"7480 153rd St W, Apple Valley","7480 153rd St W, Apple Valley",MN,44.7277288,-93.2172053,Chick-fil-A
18,19,2.8,20,"4300 Glumack Dr Concourse F, St Paul","4300 Glumack Dr Concourse F, St Paul",MN,44.8836239,-93.2144246,Chick-fil-A
19,20,4.4,755,"354 Central Pkwy, Bloomington","354 Central Pkwy, Bloomington",MN,44.8564932,-93.2418234,Chick-fil-A
20,21,3.1,2127,"4910 Central Ave NE, Columbia Heights","4910 Central Ave NE, Columbia Heights",MN,45.0577832,-93.2482733,Sonic Drive-In
21,22,3.3,1571,"4233 Egan Dr, Savage","4233 Egan Dr, Savage",MN,44.745869,-93.3328513,Sonic Drive-In
22,23,3.6,2357,"2101 American Blvd W, Bloomington","2101 American Blvd W, Bloomington",MN,44.8580794,-93.3060546,Sonic Drive-In
23,24,3.2,1450,"1960 Suburban Ave, St Paul","1960 Suburban Ave, St Paul",MN,44.9494403,-93.0176128,Sonic Drive-In
24,25,3.6,1936,"229 Carson St NW, Elk River","229 Carson St NW, Elk River",MN,45.3034684,-93.5567382,Sonic Drive-In
25,26,3.9,1057,"5444 Brooklyn Blvd, Brooklyn Center","5444 Brooklyn Blvd, Brooklyn Center",MN,45.0537471,-93.3226728,Arby's
26,27,4.0,864,"1690 Park Pl Blvd, St Louis Park","1690 Park Pl Blvd, St Louis Park",MN,44.965776,-93.349947,Arby's
27,28,4.1,1115,"3109 White Bear Ave, Maplewood","3109 White Bear Ave, Maplewood",MN,45.035373,-93.018161,Arby's
28,29,4.1,837,"5629 W Broadway W, Crystal","5629 W Broadway W, Crystal",MN,45.05563859999999,-93.3670535,Arby's
29,30,3.9,682,"5100 County Rd 101, Minnetonka","5100 County Rd 101, Minnetonka",MN,44.9117886,-93.5038687,Arby's
30,31,4.1,553,"21595 S Diamond Lake Rd, Rogers","21595 S Diamond Lake Rd, Rogers",MN,45.1990425,-93.5535058,Arby's
31,32,4.1,1114,"7744 5th Ave S, Richfield","7744 5th Ave S, Richfield",MN,44.8626594,-93.2697905,Arby's
32,33,3.8,683,"9240 Lyndale Ave S, Bloomington","9240 Lyndale Ave S, Bloomington",MN,44.835821,-93.289168,Arby's
33,34,4.1,681,"19190 Freeport St NW, Elk River","19190 Freeport St NW, Elk River",MN,45.316894,-93.5625362,Arby's
34,35,3.9,791,"10205 6th Ave N, Plymouth","10205 6th Ave N, Plymouth",MN,44.984972,-93.4103406,Arby's
35,36,4.1,563,"654 Snelling Ave S, St Paul","654 Snelling Ave S, St Paul",MN,44.921734,-93.166681,Arby's
36,37,4.1,760,"1279 Town Centre Dr, Eagan","1279 Town Centre Dr, Eagan",MN,44.832759,-93.160822,Arby's
37,38,3.9,493,"1028 Meadowlands Dr, White Bear Lake","1028 Meadowlands Dr, White Bear Lake",MN,45.0797057,-93.0588327,Arby's
38,39,4.0,897,"2105 Snelling Ave, Roseville","2105 Snelling Ave, Roseville",MN,45.004389,-93.167575,Arby's
39,40,4.1,1187,"1810 University Ave W, St Paul","1810 University Ave W, St Paul",MN,44.955398,-93.1767489,Arby's
40,41,4.0,999,"1657 S Robert St, West St Paul","1657 S Robert St, West St Paul",MN,44.8963267,-93.0810627,Arby's
41,42,4.0,703,"10320 Baltimore St NE, Blaine","10320 Baltimore St NE, Blaine",MN,45.1577236,-93.23416,Arby's
42,43,4.1,798,"7525 153rd St W, Apple Valley","7525 153rd St W, Apple Valley",MN,44.728567,-93.218517,Arby's
43,44,4.1,223,"3380 150th St W, Rosemount","3380 150th St W, Rosemount",MN,44.7312418,-93.1331565,Arby's
44,45,4.2,684,"14420 28th Pl N, Plymouth","14420 28th Pl N, Plymouth",MN,45.01186089999999,-93.4629621,Arby's
45,46,3.0,759,"4000 Annapolis Ln N, Plymouth","4000 Annapolis Ln N, Plymouth",MN,45.02860940000001,-93.4548352,Dairy Queen Grill & Chill
46,47,4.0,422,"7533 Lyndale Ave S, Richfield","7533 Lyndale Ave S, Richfield",MN,44.86607069999999,-93.287994,Dairy Queen Grill & Chill
47,48,4.3,397,"4630 Rahncliff Rd, Eagan","4630 Rahncliff Rd, Eagan",MN,44.7881344,-93.2071415,Dairy Queen
48,49,3.6,740,"819 Century Ave N, Maplewood","819 Century Ave N, Maplewood",MN,44.96613019999999,-92.9853845,Dairy Queen Grill & Chill
49,50,4.2,462,"7825 Medicine Lake Rd, Golden Valley","7825 Medicine Lake Rd, Golden Valley",MN,45.0070647,-93.37947,Dairy Queen (Treat)
50,51,3.9,758,"7700 Normandale Blvd, Edina","7700 Normandale Blvd, Edina",MN,44.8632742,-93.3521819,Dairy Queen Grill & Chill
51,52,2.5,544,"15073 Canada Ave W, Rosemount","15073 Canada Ave W, Rosemount",MN,44.7303024,-93.1323266,Dairy Queen Grill & Chill
52,53,4.3,686,"7450 Currell Blvd, Woodbury","7450 Currell Blvd, Woodbury",MN,44.9262103,-92.9550844,Dairy Queen
53,54,4.1,239,"710 NE Lowry Ave, Minneapolis","710 NE Lowry Ave, Minneapolis",MN,45.0129993,-93.251813,Dairy Queen (Treat)
54,55,4.2,462,"4740 Minnehaha Ave, Minneapolis","4740 Minnehaha Ave, Minneapolis",MN,44.9172238,-93.2138792,Dairy Queen (Treat)
55,56,3.4,760,"16340 Terrey Pine Dr, Eden Prairie","16340 Terrey Pine Dr, Eden Prairie",MN,44.8606087,-93.4847045,Dairy Queen Grill & Chill
56,57,4.0,579,"2800 W 66th St, Richfield","2800 W 66th St, Richfield",MN,44.8838469,-93.3152874,Dairy Queen Grill & Chill
57,58,3.6,273,"4912 County Rd 101, Minnetonka","4912 County Rd 101, Minnetonka",MN,44.9150765,-93.5039111,Dairy Queen Grill & Chill
58,59,4.0,402,"10950 175th Ct W, Lakeville","10950 175th Ct W, Lakeville",MN,44.6951331,-93.2873945,Dairy Queen
59,60,4.2,465,"11200 Aquila Dr N, Champlin","11200 Aquila Dr N, Champlin",MN,45.1577662,-93.3906743,Dairy Queen Grill & Chill
60,61,3.8,564,"6655 Cahill Ave, Inver Grove Heights","6655 Cahill Ave, Inver Grove Heights",MN,44.8529311,-93.0453801,Dairy Queen Grill & Chill
61,62,3.9,672,"2730 16th Ave E, North St Paul","2730 16th Ave E, North St Paul",MN,45.0201217,-92.9851538,Dairy Queen
62,63,3.9,628,"13770 83rd Way N, Maple Grove","13770 83rd Way N, Maple Grove",MN,45.106004,-93.4555033,Dairy Queen Grill & Chill
63,64,4.1,394,"705 Willow St, Farmington","705 Willow St, Farmington",MN,44.6442808,-93.1374791,Dairy Queen
64,65,3.8,341,"4719 N Lyndale Ave, Minneapolis","4719 N Lyndale Ave, Minneapolis",MN,45.0408502,-93.28719230000002,Dairy Queen(treat)
65,66,3.9,226,"2752 Lyndale Ave S, Minneapolis","2752 Lyndale Ave S, Minneapolis",MN,44.9522295,-93.2885362,Subway
66,67,3.8,169,"9731 Lyndale Ave S, Bloomington","9731 Lyndale Ave S, Bloomington",MN,44.8277083,-93.2874514,Subway
67,68,3.6,134,"1800 E 66th St, Richfield","1800 E 66th St, Richfield",MN,44.883889,-93.2489526,Subway
68,69,3.9,338,"11524 County Rd 3, Minnetonka","11524 County Rd 3, Minnetonka",MN,44.92117289999999,-93.426679,Subway
69,70,3.4,66,"8160 Co Rd 42 Suite 600, Space #9, Savage","8160 Co Rd 42 Suite 600, Space #9, Savage",MN,44.74774679999999,-93.3829736,Subway
70,71,3.6,584,"376 White Bear Ave, St Paul","376 White Bear Ave, St Paul",MN,44.9529319,-93.0247663,Subway
71,72,3.2,45,"12755 Wayzata Blvd Space #1308, Minnetonka","12755 Wayzata Blvd Space #1308, Minnetonka",MN,44.9673889,-93.438016,Subway
72,73,3.8,130,"530 Woodbury Dr Suite 200, Woodbury","530 Woodbury Dr Suite 200, Woodbury",MN,44.9408536,-92.9040946,Subway
73,74,4.1,149,"768 N Plaza Dr, Mendota Heights","768 N Plaza Dr, Mendota Heights",MN,44.8819494,-93.124641,Subway
74,75,3.4,131,"7725 Flying Cloud Dr, Eden Prairie","7725 Flying Cloud Dr, Eden Prairie",MN,44.8643936,-93.4210123,Subway
75,76,3.7,223,"599 University Ave W, St Paul","599 University Ave W, St Paul",MN,44.9559805,-93.125334,Subway
76,77,3.5,98,"7807 Southtown Ctr Bay #203, Bloomington","7807 Southtown Ctr Bay #203, Bloomington",MN,44.8610408,-93.308057,Subway
77,78,3.6,85,"5125 W 98th St, Bloomington","5125 W 98th St, Bloomington",MN,44.82420680000001,-93.3470765,Subway
78,79,3.7,182,"1740 Weir Dr #27, Woodbury","1740 Weir Dr #27, Woodbury",MN,44.9262781,-92.9743529,Subway
79,80,3.0,55,"555 Nicollet Mall Suite 297, Minneapolis","555 Nicollet Mall Suite 297, Minneapolis",MN,44.97827,-93.270616,Subway
80,81,4.0,119,"2900 1/2 Pentagon Dr, St Anthony","2900 1/2 Pentagon Dr, St Anthony",MN,45.0159184,-93.22008,Subway
81,82,3.6,144,"3965 Egan Dr, Savage","3965 Egan Dr, Savage",MN,44.74591179999999,-93.3298127,Subway
82,83,3.0,116,"10604 France Ave S Suite C, Bloomington","10604 France Ave S Suite C, Bloomington",MN,44.8106273,-93.3325516,Subway
83,84,4.0,180,"3541 Cedar Ave S, Minneapolis","3541 Cedar Ave S, Minneapolis",MN,44.9380631,-93.247062,Subway
84,85,3.3,54,"7835 150th St W, Apple Valley","7835 150th St W, Apple Valley",MN,44.7339135,-93.2255625,Subway
85,86,3.8,569,"5931 94th Ave N, Brooklyn Park","5931 94th Ave N, Brooklyn Park",MN,45.1242633,-93.3581328,Taco Bell Defy
86,87,3.7,1600,"565 No Snelling Ave N, St Paul","565 No Snelling Ave N, St Paul",MN,44.95820860000001,-93.1674012,Taco Bell
87,88,4.1,1817,"6620 Wayzata Blvd, Golden Valley","6620 Wayzata Blvd, Golden Valley",MN,44.9721289,-93.364438,Taco Bell
88,89,3.8,1653,"5532 Brooklyn Blvd, Brooklyn Center","5532 Brooklyn Blvd, Brooklyn Center",MN,45.0561488,-93.3233699,Taco Bell
89,90,4.0,1039,"7295 University Ave NE, Fridley","7295 University Ave NE, Fridley",MN,45.1002212,-93.262396,Taco Bell
90,91,3.9,1057,"919 Cambridge St, Hopkins","919 Cambridge St, Hopkins",MN,44.9346097,-93.38866,Taco Bell
91,92,4.0,1306,"14231 Nicollet Ave, Burnsville","14231 Nicollet Ave, Burnsville",MN,44.7454708,-93.278235,Taco Bell
92,93,3.7,1747,"1540 Stinson Blvd NE, Minneapolis","1540 Stinson Blvd NE, Minneapolis",MN,45.0037061,-93.2279248,Taco Bell
93,94,3.6,1184,"425 W Broadway, Minneapolis","425 W Broadway, Minneapolis",MN,44.9987625,-93.2851679,Taco Bell
94,95,3.1,209,"12320 Wayzata Blvd, Minnetonka","12320 Wayzata Blvd, Minnetonka",MN,44.9717096,-93.4340906,Taco Bell
95,96,3.7,968,"4240 Pheasant Ridge Dr NE, Blaine","4240 Pheasant Ridge Dr NE, Blaine",MN,45.1617307,-93.1619855,Taco Bell
96,97,3.5,142,"3015 Holiday Ln, Eagan","3015 Holiday Ln, Eagan",MN,44.8472871,-93.1229065,Taco Bell
97,98,3.8,1225,"7715 150th St W, Apple Valley","7715 150th St W, Apple Valley",MN,44.73246839999999,-93.2217547,Taco Bell
98,99,3.9,816,"291 County Hwy 10, Blaine","291 County Hwy 10, Blaine",MN,45.1290017,-93.2572872,Taco Bell
99,100,3.9,1130,"8450 Joiner Way, Eden Prairie","8450 Joiner Way, Eden Prairie",MN,44.8514069,-93.4320885,Taco Bell
100,101,3.7,1135,"1325 Town Centre Dr, Eagan","1325 Town Centre Dr, Eagan",MN,44.83180979999999,-93.1637309,Taco Bell
101,102,3.8,1200,"1484 White Bear Ave, St Paul","1484 White Bear Ave, St Paul",MN,44.9858446,-93.0248584,Taco Bell
102,103,3.5,310,"7049 10th St N, Oakdale","7049 10th St N, Oakdale",MN,44.961648,-92.9629501,Taco Bell
103,104,3.8,888,"16855 County Rd 24, Plymouth","16855 County Rd 24, Plymouth",MN,45.0203843,-93.4939738,Taco Bell
104,105,3.9,1233,"1940 Suburban Ave, St Paul","1940 Suburban Ave, St Paul",MN,44.9494131,-93.018077,Taco Bell
105,106,3.5,713,"925 Washington Ave SE, Minneapolis","925 Washington Ave SE, Minneapolis",MN,44.97380400000001,-93.2248065,Burger King
106,107,3.4,824,"3201 County Rd 10, Brooklyn Center","3201 County Rd 10, Brooklyn Center",MN,45.0593656,-93.3218622,Burger King
107,108,3.5,919,"14251 Nicollet Ave, Burnsville","14251 Nicollet Ave, Burnsville",MN,44.744872,-93.279148,Burger King
108,109,3.0,1299,"289 57th Ave NE, Fridley","289 57th Ave NE, Fridley",MN,45.0719693,-93.2645448,Burger King
109,110,3.3,1121,"2080 County Rd C West, Roseville","2080 County Rd C West, Roseville",MN,45.0202207,-93.1881155,Burger King
110,111,3.6,1129,"4605 Hiawatha Ave, Minneapolis","4605 Hiawatha Ave, Minneapolis",MN,44.9187428,-93.2172559,Burger King
111,112,3.7,705,"6660 Wayzata Blvd, Golden Valley","6660 Wayzata Blvd, Golden Valley",MN,44.9720859,-93.3650431,Burger King
112,113,3.2,845,"2151 Snelling Ave, Roseville","2151 Snelling Ave, Roseville",MN,45.00597430000001,-93.167211,Burger King
113,114,3.4,700,"3650 Aquila Ave S, St Louis Park","3650 Aquila Ave S, St Louis Park",MN,44.9368604,-93.3885814,Burger King
114,115,3.7,704,"1275 Town Centre Dr, Eagan","1275 Town Centre Dr, Eagan",MN,44.8329295,-93.1602334,Burger King
115,116,3.3,539,"100 W 98th St, Bloomington","100 W 98th St, Bloomington",MN,44.8267286,-93.2800882,Burger King
116,117,3.5,496,"1150 Hwy 13 E, Burnsville","1150 Hwy 13 E, Burnsville",MN,44.7842929,-93.2592353,Burger King
117,118,3.2,807,"1500 Stinson Blvd NE, Minneapolis","1500 Stinson Blvd NE, Minneapolis",MN,45.0034343,-93.2280197,Burger King
118,119,3.1,1243,"695 7th St E, St Paul","695 7th St E, St Paul",MN,44.958552,-93.073428,Burger King
119,120,3.2,606,"12309 Central Ave NE, Blaine","12309 Central Ave NE, Blaine",MN,45.1947609,-93.233918,Burger King
120,121,3.2,915,"841 Maryland Ave E, St Paul","841 Maryland Ave E, St Paul",MN,44.977726,-93.0651399,Burger King
121,122,3.4,622,"96 W 66th St, Richfield","96 W 66th St, Richfield",MN,44.8838531,-93.2805629,Burger King
122,123,3.2,656,"1698 Rice St, St Paul","1698 Rice St, St Paul",MN,44.992145,-93.1053711,Burger King
123,124,3.0,604,"10801 Bloomington Ferry Rd, Bloomington","10801 Bloomington Ferry Rd, Bloomington",MN,44.8075813,-93.3834538,Burger King
124,125,3.6,745,"1330 1st Ave E, Shakopee","1330 1st Ave E, Shakopee",MN,44.8003514,-93.5084615,Burger King
125,126,3.4,2027,"2400 Nicollet Ave, Minneapolis","2400 Nicollet Ave, Minneapolis",MN,44.9589606,-93.278245,McDonald's
126,127,3.4,1357,"2929 Hennepin Ave S, Minneapolis","2929 Hennepin Ave S, Minneapolis",MN,44.9490949,-93.2980222,McDonald's
127,128,3.5,1375,"4435 N Lyndale Ave, Minneapolis","4435 N Lyndale Ave, Minneapolis",MN,45.0364065,-93.2883909,McDonald's
128,129,3.3,2196,"3990 12th Ave E, Shakopee","3990 12th Ave E, Shakopee",MN,44.7844779,-93.4702943,McDonald's
129,130,3.5,2243,"8030 Nicollet Ave, Bloomington","8030 Nicollet Ave, Bloomington",MN,44.8578538,-93.2791715,McDonald's
130,131,3.5,922,"2705 Annapolis Cir N, Plymouth","2705 Annapolis Cir N, Plymouth",MN,45.0097975,-93.452406,McDonald's
131,132,3.3,1586,"1440 Stinson Blvd NE, Minneapolis","1440 Stinson Blvd NE, Minneapolis",MN,45.0027427,-93.2283215,McDonald's
132,133,3.5,1034,"6320 W Lake St, St Louis Park","6320 W Lake St, St Louis Park",MN,44.9424074,-93.3598664,McDonald's
133,134,3.3,1543,"916 W Broadway, Minneapolis","916 W Broadway, Minneapolis",MN,44.9998628,-93.2923566,McDonald's
134,135,3.5,1864,"1570 University Ave W, St Paul","1570 University Ave W, St Paul",MN,44.9553975,-93.1654037,McDonald's
135,136,3.3,1325,"7685 W Broadway, Brooklyn Park","7685 W Broadway, Brooklyn Park",MN,45.0929418,-93.3772943,McDonald's
136,137,3.5,1466,"9530 Blackoaks Ln N, Maple Grove","9530 Blackoaks Ln N, Maple Grove",MN,45.1275434,-93.4890926,McDonald's
137,138,3.6,1316,"5200 Excelsior Blvd, St Louis Park","5200 Excelsior Blvd, St Louis Park",MN,44.93182300000001,-93.347108,McDonald's
138,139,3.7,1007,"6645 Lyndale Ave S, Richfield","6645 Lyndale Ave S, Richfield",MN,44.8819916,-93.2868594,McDonald's
139,140,3.7,1058,"9529 Lyndale Ave S, Bloomington","9529 Lyndale Ave S, Bloomington",MN,44.830381,-93.2877338,McDonald's
140,141,3.6,1358,"4605 Central Ave NE, Minneapolis","4605 Central Ave NE, Minneapolis",MN,45.0521268,-93.2468777,McDonald's
141,142,3.4,1084,"3220 Southdale Cir, Edina","3220 Southdale Cir, Edina",MN,44.8821464,-93.3196434,McDonald's
142,143,3.3,1289,"1351 Town Centre Dr, Eagan","1351 Town Centre Dr, Eagan",MN,44.8298751,-93.1653081,McDonald's
143,144,3.5,922,"3990 Co Rd 42, Savage","3990 Co Rd 42, Savage",MN,44.7470477,-93.3300126,McDonald's
144,145,3.3,2022,"1388 Maryland Ave E, St Paul","1388 Maryland Ave E, St Paul",MN,44.97717,-93.0426569,McDonald's
