,Address,City,State,Lat,Long_,Restaurant
0,"8020 MN-7, St Louis Park","8020 MN-7, St Louis Park",MN,44.9370512,-93.381334,Chick-fil-A Knollwood
1,"2090 Snelling Ave N, Roseville","2090 Snelling Ave N, Roseville",MN,45.00427089999999,-93.1659059,Chick-fil-A
2,"2500 W 79th St, Bloomington","2500 W 79th St, Bloomington",MN,44.8610149,-93.31070059999999,Chick-fil-A
3,"615 Washington Ave SE, Minneapolis","615 Washington Ave SE, Minneapolis",MN,44.9739768,-93.2292533,Chick-fil-A
4,"3005 Harbor Ln N, Plymouth","3005 Harbor Ln N, Plymouth",MN,45.0132669,-93.4623819,Chick-fil-A
5,"6939 Valley Creek Rd, Woodbury","6939 Valley Creek Rd, Woodbury",MN,44.92487939999999,-92.9666579,Chick-fil-A
6,"9751 Xenia Ave N, Brooklyn Park","9751 Xenia Ave N, Brooklyn Park",MN,45.1339491,-93.3564504,Chick-fil-A
7,"11820 Fountains Way, Maple Grove","11820 Fountains Way, Maple Grove",MN,45.0942304,-93.4297126,Chick-fil-A
8,"1200 County Rd 42 W, Burnsville","1200 County Rd 42 W, Burnsville",MN,44.7470673,-93.29409299999999,Chick-fil-A
9,"3045 White Bear Ave, Maplewood","3045 White Bear Ave, Maplewood",MN,45.0329984,-93.0187244,Chick-fil-A Maplewood
10,"3420 Promenade Ave, Eagan","3420 Promenade Ave, Eagan",MN,44.8331243,-93.1524832,Chick-fil-A
11,"595 Northtown Dr NE, Blaine","595 Northtown Dr NE, Blaine",MN,45.1277373,-93.2576981,Chick-fil-A
12,"445 W 79th St, Chanhassen","445 W 79th St, Chanhassen",MN,44.8591608,-93.53208,Chick-fil-A
13,"300 Washington Ave SE, Minneapolis","300 Washington Ave SE, Minneapolis",MN,44.97280860000001,-93.2354014,Chick-fil-A
14,"1770 S Robert St, West St Paul","1770 S Robert St, West St Paul",MN,44.892506,-93.0799447,Chick-fil-A
15,"3855 Lexington Ave N, Arden Hills","3855 Lexington Ave N, Arden Hills",MN,45.0580368,-93.1478408,Chick-fil-A
16,"3590 River Rapids Dr, Coon Rapids","3590 River Rapids Dr, Coon Rapids",MN,45.19896060000001,-93.3574594,Chick-fil-A
17,"7480 153rd St W, Apple Valley","7480 153rd St W, Apple Valley",MN,44.7277288,-93.21720529999999,Chick-fil-A
18,"4300 Glumack Dr Concourse F, St Paul","4300 Glumack Dr Concourse F, St Paul",MN,44.8836239,-93.2144246,Chick-fil-A
19,"354 Central Pkwy, Bloomington","354 Central Pkwy, Bloomington",MN,44.8564932,-93.2418234,Chick-fil-A
20,"4910 Central Ave NE, Columbia Heights","4910 Central Ave NE, Columbia Heights",MN,45.0577832,-93.2482733,Sonic Drive-In
21,"4233 Egan Dr, Savage","4233 Egan Dr, Savage",MN,44.745869,-93.3328513,Sonic Drive-In
22,"2101 American Blvd W, Bloomington","2101 American Blvd W, Bloomington",MN,44.8580794,-93.3060546,Sonic Drive-In
23,"1960 Suburban Ave, St Paul","1960 Suburban Ave, St Paul",MN,44.9494403,-93.0176128,Sonic Drive-In
24,"229 Carson St NW, Elk River","229 Carson St NW, Elk River",MN,45.3034684,-93.55673820000001,Sonic Drive-In
27,"5444 Brooklyn Blvd, Brooklyn Center","5444 Brooklyn Blvd, Brooklyn Center",MN,45.0537471,-93.32267279999999,Arby's
28,"1690 Park Pl Blvd, St Louis Park","1690 Park Pl Blvd, St Louis Park",MN,44.965776,-93.349947,Arby's
29,"3109 White Bear Ave, Maplewood","3109 White Bear Ave, Maplewood",MN,45.035373,-93.01816099999999,Arby's
30,"5629 W Broadway W, Crystal","5629 W Broadway W, Crystal",MN,45.05563859999999,-93.3670535,Arby's
31,"5100 County Rd 101, Minnetonka","5100 County Rd 101, Minnetonka",MN,44.9117886,-93.5038687,Arby's
32,"21595 S Diamond Lake Rd, Rogers","21595 S Diamond Lake Rd, Rogers",MN,45.1990425,-93.5535058,Arby's
33,"7744 5th Ave S, Richfield","7744 5th Ave S, Richfield",MN,44.8626594,-93.2697905,Arby's
34,"9240 Lyndale Ave S, Bloomington","9240 Lyndale Ave S, Bloomington",MN,44.835821,-93.28916799999999,Arby's
35,"19190 Freeport St NW, Elk River","19190 Freeport St NW, Elk River",MN,45.316894,-93.5625362,Arby's
36,"10205 6th Ave N, Plymouth","10205 6th Ave N, Plymouth",MN,44.984972,-93.4103406,Arby's
37,"654 Snelling Ave S, St Paul","654 Snelling Ave S, St Paul",MN,44.921734,-93.166681,Arby's
38,"1279 Town Centre Dr, Eagan","1279 Town Centre Dr, Eagan",MN,44.832759,-93.160822,Arby's
39,"1028 Meadowlands Dr, White Bear Lake","1028 Meadowlands Dr, White Bear Lake",MN,45.0797057,-93.0588327,Arby's
40,"2105 Snelling Ave, Roseville","2105 Snelling Ave, Roseville",MN,45.004389,-93.167575,Arby's
41,"1810 University Ave W, St Paul","1810 University Ave W, St Paul",MN,44.955398,-93.17674889999999,Arby's
42,"1657 S Robert St, West St Paul","1657 S Robert St, West St Paul",MN,44.8963267,-93.0810627,Arby's
43,"10320 Baltimore St NE, Blaine","10320 Baltimore St NE, Blaine",MN,45.1577236,-93.23416,Arby's
44,"7525 153rd St W, Apple Valley","7525 153rd St W, Apple Valley",MN,44.728567,-93.21851699999999,Arby's
45,"3380 150th St W, Rosemount","3380 150th St W, Rosemount",MN,44.7312418,-93.1331565,Arby's
46,"14420 28th Pl N, Plymouth","14420 28th Pl N, Plymouth",MN,45.01186089999999,-93.46296210000001,Arby's
47,"4000 Annapolis Ln N, Plymouth","4000 Annapolis Ln N, Plymouth",MN,45.0286092,-93.4549132,Dairy Queen Grill & Chill
48,"4630 Rahncliff Rd, Eagan","4630 Rahncliff Rd, Eagan",MN,44.7881344,-93.20714149999999,Dairy Queen
49,"7533 Lyndale Ave S, Richfield","7533 Lyndale Ave S, Richfield",MN,44.86607069999999,-93.28799400000001,Dairy Queen Grill & Chill
50,"819 Century Ave N, Maplewood","819 Century Ave N, Maplewood",MN,44.96613019999999,-92.9853845,Dairy Queen Grill & Chill
51,"7825 Medicine Lake Rd, Golden Valley","7825 Medicine Lake Rd, Golden Valley",MN,45.0070647,-93.37947,Dairy Queen (Treat)
52,"7700 Normandale Blvd, Edina","7700 Normandale Blvd, Edina",MN,44.8632742,-93.35218189999999,Dairy Queen Grill & Chill
53,"15073 Canada Ave W, Rosemount","15073 Canada Ave W, Rosemount",MN,44.7303024,-93.1323266,Dairy Queen Grill & Chill
54,"7450 Currell Blvd, Woodbury","7450 Currell Blvd, Woodbury",MN,44.9262103,-92.95508439999999,Dairy Queen
55,"710 NE Lowry Ave, Minneapolis","710 NE Lowry Ave, Minneapolis",MN,45.0129993,-93.251813,Dairy Queen (Treat)
56,"4740 Minnehaha Ave, Minneapolis","4740 Minnehaha Ave, Minneapolis",MN,44.9172238,-93.2138792,Dairy Queen (Treat)
57,"16340 Terrey Pine Dr, Eden Prairie","16340 Terrey Pine Dr, Eden Prairie",MN,44.8606243,-93.4847492,Dairy Queen Grill & Chill
58,"2800 W 66th St, Richfield","2800 W 66th St, Richfield",MN,44.8838469,-93.3152874,Dairy Queen Grill & Chill
59,"4912 County Rd 101, Minnetonka","4912 County Rd 101, Minnetonka",MN,44.9150765,-93.5039111,Dairy Queen Grill & Chill
60,"10950 175th Ct W, Lakeville","10950 175th Ct W, Lakeville",MN,44.6951331,-93.28739449999999,Dairy Queen
61,"11200 Aquila Dr N, Champlin","11200 Aquila Dr N, Champlin",MN,45.1577662,-93.3906743,Dairy Queen Grill & Chill
62,"6655 Cahill Ave, Inver Grove Heights","6655 Cahill Ave, Inver Grove Heights",MN,44.8529311,-93.0453801,Dairy Queen Grill & Chill
63,"2730 16th Ave E, North St Paul","2730 16th Ave E, North St Paul",MN,45.0201217,-92.98515379999999,Dairy Queen
64,"13770 83rd Way N, Maple Grove","13770 83rd Way N, Maple Grove",MN,45.106004,-93.45550329999999,Dairy Queen Grill & Chill
65,"705 Willow St, Farmington","705 Willow St, Farmington",MN,44.6442808,-93.1374791,Dairy Queen
66,"4719 N Lyndale Ave, Minneapolis","4719 N Lyndale Ave, Minneapolis",MN,45.0408502,-93.28719230000002,Dairy Queen(treat)
67,"2752 Lyndale Ave S, Minneapolis","2752 Lyndale Ave S, Minneapolis",MN,44.9522295,-93.2885362,Subway
68,"9731 Lyndale Ave S, Bloomington","9731 Lyndale Ave S, Bloomington",MN,44.8277083,-93.2874514,Subway
69,"1800 E 66th St, Richfield","1800 E 66th St, Richfield",MN,44.883889,-93.2489526,Subway
70,"11524 County Rd 3, Minnetonka","11524 County Rd 3, Minnetonka",MN,44.92117289999999,-93.42667900000001,Subway
71,"8160 Co Rd 42 Suite 600, Space #9, Savage","8160 Co Rd 42 Suite 600, Space #9, Savage",MN,44.74774679999999,-93.3829736,Subway
72,"376 White Bear Ave, St Paul","376 White Bear Ave, St Paul",MN,44.9529319,-93.0247663,Subway
73,"530 Woodbury Dr Suite 200, Woodbury","530 Woodbury Dr Suite 200, Woodbury",MN,44.9408536,-92.9040946,Subway
74,"12755 Wayzata Blvd Space #1308, Minnetonka","12755 Wayzata Blvd Space #1308, Minnetonka",MN,44.9673889,-93.43801599999999,Subway
75,"768 N Plaza Dr, Mendota Heights","768 N Plaza Dr, Mendota Heights",MN,44.8819494,-93.124641,Subway
76,"7725 Flying Cloud Dr, Eden Prairie","7725 Flying Cloud Dr, Eden Prairie",MN,44.8643936,-93.4210123,Subway
77,"7807 Southtown Ctr Bay #203, Bloomington","7807 Southtown Ctr Bay #203, Bloomington",MN,44.8610408,-93.308057,Subway
78,"599 University Ave W, St Paul","599 University Ave W, St Paul",MN,44.9559805,-93.125334,Subway
79,"5125 W 98th St, Bloomington","5125 W 98th St, Bloomington",MN,44.82420680000001,-93.3470765,Subway
80,"1740 Weir Dr Suite 27, Woodbury","1740 Weir Dr Suite 27, Woodbury",MN,44.9262781,-92.9743529,Subway
81,"555 Nicollet Mall Suite 297, Minneapolis","555 Nicollet Mall Suite 297, Minneapolis",MN,44.97827,-93.27061599999999,Subway
82,"2900 1/2 Pentagon Dr, St Anthony","2900 1/2 Pentagon Dr, St Anthony",MN,45.0159184,-93.22008,Subway
83,"3965 Egan Dr, Savage","3965 Egan Dr, Savage",MN,44.74591179999999,-93.32981269999999,Subway
84,"10604 France Ave S Suite C, Bloomington","10604 France Ave S Suite C, Bloomington",MN,44.8106273,-93.3325516,Subway
85,"3541 Cedar Ave S, Minneapolis","3541 Cedar Ave S, Minneapolis",MN,44.9380631,-93.247062,Subway
86,"7835 150th St W, Apple Valley","7835 150th St W, Apple Valley",MN,44.7339135,-93.2255625,Subway
87,"5931 94th Ave N, Brooklyn Park","5931 94th Ave N, Brooklyn Park",MN,45.1242633,-93.35813279999999,Taco Bell Defy
88,"565 No Snelling Ave N, St Paul","565 No Snelling Ave N, St Paul",MN,44.95821249999999,-93.16731899999999,Taco Bell
89,"6620 Wayzata Blvd, Golden Valley","6620 Wayzata Blvd, Golden Valley",MN,44.9721289,-93.36443799999999,Taco Bell
90,"5532 Brooklyn Blvd, Brooklyn Center","5532 Brooklyn Blvd, Brooklyn Center",MN,45.0561488,-93.32336989999999,Taco Bell
91,"7295 University Ave NE, Fridley","7295 University Ave NE, Fridley",MN,45.1002212,-93.262396,Taco Bell
92,"919 Cambridge St, Hopkins","919 Cambridge St, Hopkins",MN,44.9346159,-93.3886251,Taco Bell
93,"14231 Nicollet Ave, Burnsville","14231 Nicollet Ave, Burnsville",MN,44.7454708,-93.278235,Taco Bell
94,"1540 Stinson Blvd NE, Minneapolis","1540 Stinson Blvd NE, Minneapolis",MN,45.0037061,-93.2279248,Taco Bell
95,"425 W Broadway, Minneapolis","425 W Broadway, Minneapolis",MN,44.9987618,-93.28523609999999,Taco Bell
96,"12320 Wayzata Blvd, Minnetonka","12320 Wayzata Blvd, Minnetonka",MN,44.9717096,-93.43409059999999,Taco Bell
97,"4240 Pheasant Ridge Dr NE, Blaine","4240 Pheasant Ridge Dr NE, Blaine",MN,45.1617307,-93.16198550000001,Taco Bell
98,"3015 Holiday Ln, Eagan","3015 Holiday Ln, Eagan",MN,44.8472871,-93.1229065,Taco Bell
99,"7715 150th St W, Apple Valley","7715 150th St W, Apple Valley",MN,44.73246839999999,-93.22175469999999,Taco Bell
100,"291 County Hwy 10, Blaine","291 County Hwy 10, Blaine",MN,45.1290017,-93.2572872,Taco Bell
101,"8450 Joiner Way, Eden Prairie","8450 Joiner Way, Eden Prairie",MN,44.8514069,-93.43208849999999,Taco Bell
102,"1325 Town Centre Dr, Eagan","1325 Town Centre Dr, Eagan",MN,44.83180979999999,-93.16373089999999,Taco Bell
103,"1484 White Bear Ave, St Paul","1484 White Bear Ave, St Paul",MN,44.9858446,-93.0248584,Taco Bell
104,"7049 10th St N, Oakdale","7049 10th St N, Oakdale",MN,44.961648,-92.9629501,Taco Bell
105,"16855 County Rd 24, Plymouth","16855 County Rd 24, Plymouth",MN,45.0203843,-93.49397379999999,Taco Bell
106,"7740 2nd Ave S, Richfield","7740 2nd Ave S, Richfield",MN,44.86219,-93.27512259999999,Taco Bell
107,"925 Washington Ave SE, Minneapolis","925 Washington Ave SE, Minneapolis",MN,44.97380400000001,-93.2248065,Burger King
108,"3201 County Rd 10, Brooklyn Center","3201 County Rd 10, Brooklyn Center",MN,45.0593656,-93.3218622,Burger King
109,"14251 Nicollet Ave, Burnsville","14251 Nicollet Ave, Burnsville",MN,44.744872,-93.27914799999999,Burger King
110,"289 57th Ave NE, Fridley","289 57th Ave NE, Fridley",MN,45.0719693,-93.2645448,Burger King
111,"2080 County Rd C West, Roseville","2080 County Rd C West, Roseville",MN,45.0202207,-93.1881155,Burger King
112,"4605 Hiawatha Ave, Minneapolis","4605 Hiawatha Ave, Minneapolis",MN,44.9187608,-93.217175,Burger King
113,"6660 Wayzata Blvd, Golden Valley","6660 Wayzata Blvd, Golden Valley",MN,44.9720859,-93.3650431,Burger King
114,"2151 Snelling Ave, Roseville","2151 Snelling Ave, Roseville",MN,45.0059108,-93.1671765,Burger King
115,"3650 Aquila Ave S, St Louis Park","3650 Aquila Ave S, St Louis Park",MN,44.9368604,-93.38858139999999,Burger King
116,"1275 Town Centre Dr, Eagan","1275 Town Centre Dr, Eagan",MN,44.8329295,-93.16023340000001,Burger King
117,"100 W 98th St, Bloomington","100 W 98th St, Bloomington",MN,44.8267286,-93.2800882,Burger King
118,"1150 Hwy 13 E, Burnsville","1150 Hwy 13 E, Burnsville",MN,44.7842929,-93.2592353,Burger King
119,"1500 Stinson Blvd NE, Minneapolis","1500 Stinson Blvd NE, Minneapolis",MN,45.0034343,-93.22801969999999,Burger King
120,"695 7th St E, St Paul","695 7th St E, St Paul",MN,44.958552,-93.07342799999999,Burger King
121,"12309 Central Ave NE, Blaine","12309 Central Ave NE, Blaine",MN,45.1947609,-93.233918,Burger King
122,"841 Maryland Ave E, St Paul","841 Maryland Ave E, St Paul",MN,44.977726,-93.06513989999999,Burger King
123,"96 W 66th St, Richfield","96 W 66th St, Richfield",MN,44.8838531,-93.28056289999999,Burger King
124,"1698 Rice St, St Paul","1698 Rice St, St Paul",MN,44.992145,-93.1053711,Burger King
125,"10801 Bloomington Ferry Rd, Bloomington","10801 Bloomington Ferry Rd, Bloomington",MN,44.8075813,-93.3834538,Burger King
126,"1330 1st Ave E, Shakopee","1330 1st Ave E, Shakopee",MN,44.8003514,-93.5084615,Burger King
127,"2400 Nicollet Ave, Minneapolis","2400 Nicollet Ave, Minneapolis",MN,44.9589606,-93.27824500000001,McDonald's
128,"2929 Hennepin Ave S, Minneapolis","2929 Hennepin Ave S, Minneapolis",MN,44.9490949,-93.29802219999999,McDonald's
129,"4435 N Lyndale Ave, Minneapolis","4435 N Lyndale Ave, Minneapolis",MN,45.0364065,-93.2883909,McDonald's
130,"3990 12th Ave E, Shakopee","3990 12th Ave E, Shakopee",MN,44.7844779,-93.47029429999999,McDonald's
131,"8030 Nicollet Ave, Bloomington","8030 Nicollet Ave, Bloomington",MN,44.8578538,-93.27917149999999,McDonald's
132,"2705 Annapolis Cir N, Plymouth","2705 Annapolis Cir N, Plymouth",MN,45.0097975,-93.452406,McDonald's
133,"1440 Stinson Blvd NE, Minneapolis","1440 Stinson Blvd NE, Minneapolis",MN,45.0027427,-93.22832149999999,McDonald's
134,"6320 W Lake St, St Louis Park","6320 W Lake St, St Louis Park",MN,44.9424074,-93.3598664,McDonald's
135,"916 W Broadway, Minneapolis","916 W Broadway, Minneapolis",MN,44.9998628,-93.29235659999999,McDonald's
136,"1570 University Ave W, St Paul","1570 University Ave W, St Paul",MN,44.9553975,-93.1654037,McDonald's
137,"9530 Blackoaks Ln N, Maple Grove","9530 Blackoaks Ln N, Maple Grove",MN,45.1275434,-93.48909259999999,McDonald's
138,"7685 W Broadway, Brooklyn Park","7685 W Broadway, Brooklyn Park",MN,45.0929418,-93.3772943,McDonald's
139,"6645 Lyndale Ave S, Richfield","6645 Lyndale Ave S, Richfield",MN,44.8819916,-93.2868594,McDonald's
140,"5200 Excelsior Blvd, St Louis Park","5200 Excelsior Blvd, St Louis Park",MN,44.93182300000001,-93.34710799999999,McDonald's
141,"9529 Lyndale Ave S, Bloomington","9529 Lyndale Ave S, Bloomington",MN,44.830381,-93.2877338,McDonald's
142,"4605 Central Ave NE, Minneapolis","4605 Central Ave NE, Minneapolis",MN,45.0521268,-93.2468777,McDonald's
143,"3220 Southdale Cir, Edina","3220 Southdale Cir, Edina",MN,44.8821464,-93.31964339999999,McDonald's
144,"1351 Town Centre Dr, Eagan","1351 Town Centre Dr, Eagan",MN,44.8298751,-93.16530809999999,McDonald's
145,"3990 Co Rd 42, Savage","3990 Co Rd 42, Savage",MN,44.7470477,-93.33001259999999,McDonald's
146,"1388 Maryland Ave E, St Paul","1388 Maryland Ave E, St Paul",MN,44.97717,-93.0426569,McDonald's
